# TYPE apiserver_request_total untyped
apiserver_request_total{code="504",component="apiserver",endpoint="https",instance="test-node",job="test-job",namespace="test-namespace",resource="configmaps",scope="resource",service="test-service",verb="PUT",version="v1",prometheus="prometheus-system/kube-prometheus-kube-prome-prometheus",prometheus_replica="prometheus-kube-prometheus-kube-prome-prometheus-0"} 1 1675856675021
# TYPE container_cpu_cfs_periods_total untyped
container_cpu_cfs_periods_total{container="test-container",endpoint="https-metrics",id="/kubepods/burstable/pod7590868f-fb43-40c5-b750-9306fa11571e/1e14a072d677f6b31ac2a09a68d14ac5c788663a660979980da066a919fe7e84",image="915014598477.dkr.ecr.us-east-1.amazonaws.com/nighthawk/alerting_management@sha256:11138b16b634ffbc60ceb1c9c99a93faab82d0b74c1204157c2ee2068f3395b8",instance="test-node",job="test-job",metrics_path="/metrics/cadvisor",name="k8s_alerting-management_alerting-management-internal-5546c9b5c6-jgvm6_o11y-platform_7590868f-fb43-40c5-b750-9306fa11571e_0",namespace="test-namespace",node="test-node",pod="test-pod",service="test-service",prometheus="prometheus-system/kube-prometheus-kube-prome-prometheus",prometheus_replica="prometheus-kube-prometheus-kube-prome-prometheus-0"} 550377 1675856675021
container_cpu_cfs_periods_total{endpoint="https-metrics",id="/kubepods/burstable/pod00d78412-39d4-4a5b-8e85-38a12611f369",instance="test-node",job="test-job",metrics_path="/metrics/cadvisor",namespace="test-namespace",node="test-node",pod="test-pod",service="test-service",prometheus="prometheus-system/kube-prometheus-kube-prome-prometheus",prometheus_replica="prometheus-kube-prometheus-kube-prome-prometheus-0"} 459152 1675856675021
# TYPE container_cpu_cfs_throttled_periods_total untyped
container_cpu_cfs_throttled_periods_total{container="test-container",endpoint="https-metrics",id="/kubepods/burstable/pod7590868f-fb43-40c5-b750-9306fa11571e/1e14a072d677f6b31ac2a09a68d14ac5c788663a660979980da066a919fe7e84",image="915014598477.dkr.ecr.us-east-1.amazonaws.com/nighthawk/alerting_management@sha256:11138b16b634ffbc60ceb1c9c99a93faab82d0b74c1204157c2ee2068f3395b8",instance="test-node",job="test-job",metrics_path="/metrics/cadvisor",name="k8s_alerting-management_alerting-management-internal-5546c9b5c6-jgvm6_o11y-platform_7590868f-fb43-40c5-b750-9306fa11571e_0",namespace="test-namespace",node="test-node",pod="test-pod",service="test-service",prometheus="prometheus-system/kube-prometheus-kube-prome-prometheus",prometheus_replica="prometheus-kube-prometheus-kube-prome-prometheus-0"} 20702 1675856675021
container_cpu_cfs_throttled_periods_total{endpoint="https-metrics",id="/kubepods/podd228bba1-5ce2-486b-a44f-cdcfe4780cb0",instance="test-node",job="test-job",metrics_path="/metrics/cadvisor",namespace="test-namespace",node="test-node",pod="test-pod",service="test-service",prometheus="prometheus-system/kube-prometheus-kube-prome-prometheus",prometheus_replica="prometheus-kube-prometheus-kube-prome-prometheus-0"} 9795 1675856675021
# TYPE container_cpu_usage_seconds_total untyped
container_cpu_usage_seconds_total{container="POD",cpu="total",endpoint="https-metrics",id="/kubepods/besteffort/podd75ecb37-1783-4067-a07a-d7358c6c6811/d6bb08242e5a6351002725bae8aa740e2341710401ef59f9ca0f7f1802ea65d3",image="602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/pause:3.5",instance="test-node",job="test-job",metrics_path="/metrics/cadvisor",name="k8s_POD_swi-k8s-otel-collector-swo-k8s-collector-logs-nxhjn_prometheus-system_d75ecb37-1783-4067-a07a-d7358c6c6811_0",namespace="test-namespace",node="test-node",pod="test-pod",service="test-service",prometheus="prometheus-system/kube-prometheus-kube-prome-prometheus",prometheus_replica="prometheus-kube-prometheus-kube-prome-prometheus-0"} 0.136310678 1675856675021
container_cpu_usage_seconds_total{cpu="total",endpoint="https-metrics",id="/kubepods/besteffort/pod0fbfc1ac-4d28-4655-bf39-b6e44fecd6a9",instance="test-node",job="test-job",metrics_path="/metrics/cadvisor",namespace="test-namespace",node="test-node",pod="test-pod",service="test-service",prometheus="prometheus-system/kube-prometheus-kube-prome-prometheus",prometheus_replica="prometheus-kube-prometheus-kube-prome-prometheus-0"} 2790.085179751 1675856675021
